"Site","Date","pixel","50m ","150m","300m"
"LTRMK3",1999-01-06,228,1495,5016,5016
"LTRMK3",1999-01-22,240,1110,1537,1537
"LTRMK3",1999-02-23,336,2289,3695,3695
"LTRMK3",1999-03-27,586,4142,9792,9792
"LTRMK3",1999-05-14,729,3842,10536,10536
"LTRMK3",1999-06-15,224,2424,6879,6879
"LTRMK3",1999-07-17,689,5774,18375,18908
"LTRMK3",1999-08-02,461,4005,12308,12469
"LTRMK3",1999-08-18,316,2723,9641,9641
"LTRMK3",1999-09-03,NA,NA,NA,NA
"LTRMK3",1999-10-05,272,2888,9887,11136
"LTRMK3",1999-10-21,154,1560,8629,10993
"LTRMK3",1999-11-22,0,0,0,0
"LTRMK3",1999-12-24,0,0,0,0
"LTRMK3",2000-04-30,133,774,1403,1403
"LTRMK3",2000-07-03,NA,NA,NA,NA
"LTRMK3",2000-07-19,0,168,3384,3384
"LTRMK3",2000-08-20,0,344,1902,1902
"LTRMK3",2000-11-24,290,2583,6292,6292
"LTRMK3",2000-12-10,547,4458,15063,16060
"LTRMK3",2000-12-26,581,4383,10790,10790
"LTRMK3",2001-03-16,658,4535,11203,11203
"LTRMK3",2001-05-03,354,2136,3606,3606
"LTRMK3",2001-06-20,269,1906,4448,4594
"LTRMK3",2001-07-22,0,0,0,0
"LTRMK3",2001-08-23,0,0,0,0
"LTRMK3",2001-11-27,348,2725,9978,10141
"LTRMK3",2001-12-13,348,3287,11078,11296
"LTRMK3",2002-03-03,298,3206,11410,11963
"LTRMK3",2002-05-22,652,5916,26379,29214
"LTRMK3",2002-07-25,247,3540,22034,23880
"LTRMK3",2002-11-14,407,2589,6453,6603
"LTRMK3",2003-01-01,0,915,1733,1733
"LTRMK3",2003-02-02,0,0,0,0
"LTRMK3",2003-03-06,149,816,1188,1188
"LTRMK3",2003-04-07,203,998,1646,1646
"LTRMK3",2003-05-09,355,1921,5565,6093
"LTRMK3",2003-08-29,254,1725,9587,10258
"LTRMK3",2004-01-04,562,4294,13506,13657
"LTRMK3",2004-02-05,330,2256,3519,3519
"LTRMK3",2004-04-25,NA,NA,NA,NA
"LTRMK3",2004-05-11,0,0,0,0
"LTRMK3",2004-06-12,0,0,554,554
"LTRMK3",2004-07-14,0,0,5548,6716
"LTRMK3",2004-08-15,0,529,8920,11251
"LTRMK3",2004-10-02,0,619,7351,7870
"LTRMK3",2004-11-19,215,1591,10995,11409
"LTRMK3",2004-12-21,529,4224,17116,18240
"LTRMK3",2005-02-23,0,0,0,0
"LTRMK3",2005-04-12,511,2821,4199,4199
"LTRMK3",2005-05-30,1058,6743,15635,15794
"LTRMK3",2005-09-03,0,0,2125,2125
"LTRMK3",2005-10-05,0,0,998,998
"LTRMK3",2005-11-22,202,1829,13615,15345
"LTRMK3",2006-01-09,0,0,0,0
"LTRMK3",2006-03-14,0,0,0,0
"LTRMK3",2006-07-04,0,0,0,0
"LTRMK3",2006-09-06,0,0,740,740
"LTRMK3",2006-10-08,0,0,0,0
"LTRMK3",2006-11-09,0,0,0,0
"LTRMK3",2007-01-12,1010,6670,17732,17732
"LTRMK3",2007-02-13,1418,8547,18780,18780
"LTRMK3",2007-03-01,1357,8066,21789,21943
"LTRMK3",2007-04-18,1115,8331,25766,26459
"LTRMK3",2007-06-21,1158,9964,44935,51317
"LTRMK3",2007-08-08,170,1572,9229,10485
"LTRMK3",2007-09-25,0,977,4952,5114
"LTRMK3",2008-02-16,0,0,0,NA
"LTRMK3",2008-03-03,0,0,0,0
"LTRMK3",2008-05-22,139,1107,2070,2070
"LTRMK3",2008-06-23,0,0,4754,4754
"LTRMK3",2008-07-25,0,0,7411,9563
"LTRMK3",2008-08-10,0,0,5840,7417
"LTRMK3",2008-09-11,0,0,5468,6335
"LTRMK3",2008-10-13,0,596,7958,10229
"LTRMK3",2008-11-14,0,540,5854,6221
"LTRMK3",2009-01-17,549,5254,28259,33023
"LTRMK3",2009-02-02,309,4672,30425,44188
"LTRMK3",2009-03-06,313,3323,23184,25381
"LTRMK3",2009-07-12,325,2565,20526,26175
"LTRMK3",2009-08-29,0,191,5368,9644
"LTRMK3",2009-09-30,0,0,2295,3435
"LTRMK3",2009-11-01,0,0,1671,2022
